File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
\\192.168.0.108\htdocs\teranex\themes\site\css\bootstrap-3.1.1.min.css,7,1,1313,0,1,1,5,25,5,25
\\192.168.0.108\htdocs\teranex\themes\site\css\bootstrap-theme.css,588,581,348,0,1,0,6,19,5,16
\\192.168.0.108\htdocs\teranex\themes\site\css\bootstrap-theme.min.css,6,1,64,0,0,1,5,19,4,16
\\192.168.0.108\htdocs\teranex\themes\site\css\bootstrap.css,6758,6742,4248,0,8,0,8,32,6,25
\\192.168.0.108\htdocs\teranex\themes\site\css\bootstrap.min.css,7,2,1514,0,0,1,5,32,4,29
\\192.168.0.108\htdocs\teranex\themes\site\css\custom - Copy (2).css,746,568,481,0,136,0,42,140,0,0
\\192.168.0.108\htdocs\teranex\themes\site\css\custom - Copy.css,746,568,481,0,136,0,42,140,0,0
\\192.168.0.108\htdocs\teranex\themes\site\css\custom 9Apr18.css,748,570,482,0,134,5,44,156,0,0
\\192.168.0.108\htdocs\teranex\themes\site\css\custom.css,734,574,486,0,116,13,44,172,0,0
\\192.168.0.108\htdocs\teranex\themes\site\css\custom20aprl.css,741,574,486,0,123,13,44,172,0,0
\\192.168.0.108\htdocs\teranex\themes\site\css\custom6Apr18.css,748,569,481,0,136,5,43,154,0,0
\\192.168.0.108\htdocs\teranex\themes\site\css\customcss - Copy (2).css,1060,876,716,0,97,2,87,295,0,0
\\192.168.0.108\htdocs\teranex\themes\site\css\customcss - Copy.css,1169,978,797,0,101,0,90,289,0,0
\\192.168.0.108\htdocs\teranex\themes\site\css\customcss 4Apr18.css,1243,1039,838,0,109,2,95,303,0,0
\\192.168.0.108\htdocs\teranex\themes\site\css\customcss.css,1061,877,717,0,97,2,87,295,0,0
\\192.168.0.108\htdocs\teranex\themes\site\css\customcss11Apr18.css,1257,1040,845,0,119,2,98,316,0,0
\\192.168.0.108\htdocs\teranex\themes\site\css\customcss17Apr18.css,1332,1111,900,0,122,2,99,317,0,0
\\192.168.0.108\htdocs\teranex\themes\site\css\customcss19Apr18.css,1332,1111,900,0,122,2,99,317,0,0
\\192.168.0.108\htdocs\teranex\themes\site\css\customcss20aprl.css,1332,1111,900,0,122,2,99,317,0,0
\\192.168.0.108\htdocs\teranex\themes\site\css\customcss31Apr18.css,1323,1101,891,0,124,2,98,316,0,0
\\192.168.0.108\htdocs\teranex\themes\site\css\customcss6Apr18.css,1274,1063,856,0,114,2,97,307,0,0
\\192.168.0.108\htdocs\teranex\themes\site\css\customcss_2Apr18.css,1177,981,798,0,101,2,95,303,0,0
\\192.168.0.108\htdocs\teranex\themes\site\css\custom_new 11apr18.css,338,308,236,0,6,10,24,136,9,21
\\192.168.0.108\htdocs\teranex\themes\site\css\custom_new 2Apr18.css,265,236,177,0,6,10,23,133,9,21
\\192.168.0.108\htdocs\teranex\themes\site\css\custom_new.css,446,411,312,0,8,10,27,148,9,21
\\192.168.0.108\htdocs\teranex\themes\site\css\custom_new17Apr18.css,390,358,275,0,8,10,24,136,9,21
\\192.168.0.108\htdocs\teranex\themes\site\css\custom_new19Apr18.css,428,395,303,0,9,10,24,136,9,21
\\192.168.0.108\htdocs\teranex\themes\site\css\custom_new20aprl.css,587,550,437,0,9,10,28,150,9,21
\\192.168.0.108\htdocs\teranex\themes\site\css\ekko-lightbox.css,2,1,24,0,0,0,1,3,0,0
\\192.168.0.108\htdocs\teranex\themes\site\css\fullcalendar.min.css,5,1,213,0,0,1,4,15,4,15
\\192.168.0.108\htdocs\teranex\themes\site\css\fullcalendar.print.min.css,9,1,26,0,0,1,8,32,8,32
\\192.168.0.108\htdocs\teranex\themes\site\css\headerfooter 25Apr18.css,451,383,306,0,41,0,27,51,3,3
\\192.168.0.108\htdocs\teranex\themes\site\css\headerfooter 26Apr 18 top searchbar.css,470,401,320,0,40,5,29,76,3,7
\\192.168.0.108\htdocs\teranex\themes\site\css\headerfooter regulor.css,467,400,318,0,38,0,29,55,3,3
\\192.168.0.108\htdocs\teranex\themes\site\css\headerfooter top searchbar.css,467,400,318,0,38,0,29,55,3,3
\\192.168.0.108\htdocs\teranex\themes\site\css\headerfooter.css,496,426,339,0,38,0,32,63,3,3
\\192.168.0.108\htdocs\teranex\themes\site\css\headerfooter24Apr18.css,435,372,298,0,39,0,24,45,3,3
\\192.168.0.108\htdocs\teranex\themes\site\css\headerfooter30Apr.css,496,426,339,0,38,0,32,63,3,3
\\192.168.0.108\htdocs\teranex\themes\site\css\headerfooter30Apr18.css,494,424,337,0,38,0,32,63,3,3
\\192.168.0.108\htdocs\teranex\themes\site\css\headerfooter_old.css,418,370,297,0,30,0,18,38,0,0
\\192.168.0.108\htdocs\teranex\themes\site\css\jquery.bxslider.min.css,1,1,27,0,0,0,0,0,0,0
\\192.168.0.108\htdocs\teranex\themes\site\css\layout-styles.css,161,139,114,0,22,1,0,6,0,0
\\192.168.0.108\htdocs\teranex\themes\site\css\LocMetrics.css,1,1,6,0,0,0,0,0,0,0
\\192.168.0.108\htdocs\teranex\themes\site\css\multiple-select.css,200,174,150,0,23,0,3,7,3,7
\\192.168.0.108\htdocs\teranex\themes\site\css\scrollheader.css,12,9,8,0,1,0,2,6,1,3
\\192.168.0.108\htdocs\teranex\themes\site\css\style.css,93,78,71,0,15,0,0,0,0,0
\\192.168.0.108\htdocs\teranex\themes\site\css\style10 apr18.css,145,124,109,0,21,0,0,0,0,0
\\192.168.0.108\htdocs\teranex\themes\site\css\style17Apr18.css,146,126,111,0,20,0,0,0,0,0
